Freq.	V(n002)/V(n001)
7.58577575029179e+003	(-7.64017611507845e-003dB,2.40280239995670e+000°)
7.76247116628687e+003	(-7.29660024445670e-003dB,2.34816987551418e+000°)
7.94328234724277e+003	(-6.96846246007928e-003dB,2.29477681057907e+000°)
8.12830516164094e+003	(-6.65507016284765e-003dB,2.24259526659047e+000°)
8.31763771102666e+003	(-6.35576173006485e-003dB,2.19159792265612e+000°)
8.51138038202371e+003	(-6.06990513841828e-003dB,2.14175806270656e+000°)
8.70963589956075e+003	(-5.79689664745585e-003dB,2.09304956286134e+000°)
8.91250938133740e+003	(-5.53615954093115e-003dB,2.04544687900777e+000°)
9.12010839355904e+003	(-5.28714292354284e-003dB,1.99892503459251e+000°)
9.33254300796985e+003	(-5.04932057070936e-003dB,1.95345960862535e+000°)
9.54992586021430e+003	(-4.82218982904376e-003dB,1.90902672389517e+000°)
9.77237220955804e+003	(-4.60527056538213e-003dB,1.86560303539680e+000°)
1.00000000000000e+004	(-4.39810416223637e-003dB,1.82316571896813e+000°)
